ID,VerseID,Word,Meaning
370,"تث20: 6","يبتكره","يجنى منه أول ثمرة"
371,"تث21: 14","تسترقها","تستعبدها"
372,"تث22: 12","جدائل","أهداب - خيوط تتدلى من أطراف الثوب"
373,"تث23: 1","مجبوب","من بترت أعضاؤه التناسلية"
374,"تث23: 17","مابون","مخنث - شاذ جنسيا"
375,"تث24: 21","تعلله","تلتقط فضلات الحصاد"
376,"تث25: 18","كليل","مرهق - ضعيف"
377,"تث27: 4","بالكلس","بالجير"
378,"تث28: 22","البرداء","الحمى مع برودة شديدة"
379,"تث28: 42","الصرصر","نوع من الجراد"
380,"تث28: 50","جافية","قاسية - صلبة"
381,"تث29: 18","افسنتينا","نبات مر الطعم"
382,"تث31: 16","ينكث","ينقض - يكسر"
383,"تث32: 15","يشورون","المستقيم - الشعب الذى يسلك بالاستقامة"
384,"تث32: 24","حمة","سم قاتل"
385,"تث32: 33","الاصلال","نوع من الحيات سام جدا و خبيث جدا""يش1: 8"
386,"يش2: 15","الكوة","النافذة الصغيرة"
387,"يش3: 13","ندا","كومة - تل مرتفع"
388,"يش4: 8","المبيت","مكان سكانهم"
389,"يش5: 2","صوان","صخر شديد الصلابة"
390,"يش5: 3","القلف","جمع قلفة = الجلدة التى تقطع عند ختان الذكور"
391,"يش7: 24","عخور","عناء مشقة أزعاج"
392,"يش8: 18","المزراق","الرمح القصير"
393,"يش9: 4","جوالق","زكايب - اكياس تحمل غلى جانبى الدابة"
394,"يش13: 3","الشيحور","نهر النيل"
395,"يش17: 3","صلفحاد","اسم عبرى معناه حماية من الخوف"
396,"يش19: 29","كورة","قرية"
397,"قض1: 12","عكسة","اسم عبرى معناه خلخال"
398,"قض1: 13","عثنيئيل","اسم عبرى معناه الله قوة"
399,"قض1: 16","القيني","اسم سامى معناه الحداد"
400,"قض2: 1","انكث","انقض - اكسر"
401,"قض2: 13","عشتاروث","الإلهة الرئيسية فى كل من دولتى بابل و آشور"
402,"قض3: 19","صه","اسكت"
403,"قض3: 22","القائم","مقبض السيف"
404,"قض3: 31","منساس","عصا تنخس بها البهائم"
405,"قض4: 19","وطب","قربة - وعاء من الجلد"
406,"قض5: 8","مجن","ترس كبير"
407,"قض5: 10","طنافس","جمع طنفسة"
408,"قض5: 17","فرضه","شاطئه"
409,"قض6: 19","ايفة","مكيال = 23 لترا تقريبا"
410,"قض6: 37","طل","ندى"
411,"قض7: 5","يلغ","يشرب بطرف لسانه"
412,"قض7: 19","هزيع","قسم من أقسام الليل"
413,"قض8: 7","النوارج","جمع نورج = الة لدرس الحبوب"
414,"قض9: 38","فوك","فمك"
415,"قض9: 53","فشجت","فكسرت"
416,"قض12: 6","شبولت","سنبلة"
417,"قض13: 2","منوح","اسم عبرى معناه راحة"
418,"قض13: 24","شمشون","اسم عبرى معناه شمس"
419,"قض14: 8","رمة","جثة الميت"
420,"قض14: 12","احجية","لغز"
421,"قض16: 4","دليلة","اسم عبرى معناه معشوقة مدللة"
422,"قض16: 9","المشاقة","خيوط كتان ضعيفة"
423,"قض16: 10","ختلتني","خدعتنى"
424,"قض17: 5","ترافيم","تماثيل صغيرة - أصنام خاصة باهل البيت"
425,"قض20: 33","عراء","مرج = أرض خضرة"
426,"را1: 2","اليمالك","اسم عبرى معناه الله مالك"
427,"را1: 4","عرفة","اسم موآبى معناه عرف أو رقبة"
428,"را1: 6","كنتاها","الكنة = زوجة الأبن"
429,"را2: 1","بوعز","ذو العزة - ذو البأس"
430,"را2: 16","الشمائل","الحزم"
431,"را3: 15","فاكتال","وزن بالكيل"
432,"را4: 17","عوبيد","اسم عبرى معناه عبد"
433,"1صم1: 1","القانة","اسم عبرى معناه الله قد خلق"
434,"1صم1: 2","حنة","اسم عبرى معناه حنان"
435,"1صم1: 3","فينحاس","اسم مصرى معناه النوبى"
436,"1صم1: 6","المراغمة","الغيط"
437,"1صم1: 20","صموئيل","اسم عبرى معناه اسم الله أو سمع الله"
438,"1صم5: 6","البواسير","ورم فى مؤخرة البدن ينزف دما"
439,"1صم6: 12","تجاران","تصحيان"
440,"1صم8: 2","يوئيل","اسم عبرى معناه يهوه هو الله"
441,"1صم9: 22","المنسك","قاعة الطعام"
442,"1صم10: 5","زمرة","جماعة"
443,"1صم13: 6","ضنك","ضيقة"
444,"1صم14: 14","تلم","خط يصنعه المراث فى الأرض"
445,"1صم15: 9","الثنيان","العجول الثمينة"
446,"1صم17: 6","جرموقا","صفائح من النحاس"
447,"1صم17: 40","كنف","كيس يضع فيه الراعى أدوات الصيد"
448,"1صم17: 49","فارتز","غاص فى - نفذ الى"
449,"1صم18: 4","الجبة","الرداء"
450,"1صم19: 13","لبدة","وسادة من الصوف"
451,"1صم22: 1","عدلام","اسم عبرى معناه ملجأ"
452,"1صم22: 6","الاثلة","نوع من الشجر"
453,"1صم25: 3","نابال","اسم عبرى معناه غبى"
454,"1صم25: 10","يقحصون","يهربون - يفرون"
455,"1صم26: 5","المتراس","الخندق"
